                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0256,                  4.226,                 4.1441,                0.33592,                0.33008,                0.00676,                0.00155,                 2.7066,                 4.1561,                 3.8714,             0.00033069,             0.00033069,             0.00033069
                      2,                 2.5781,                 3.8624,                 3.4255,                0.21135,                0.15391,                0.03304,                0.01028,                 2.1647,                 3.9196,                 3.3494,             0.00063115,             0.00063115,             0.00063115
                      3,                  2.119,                 3.5049,                 2.8277,                0.23764,                0.23219,                0.10148,                0.03874,                 1.9087,                  3.294,                 2.8945,             0.00089862,             0.00089862,             0.00089862
                      4,                 1.7323,                   2.98,                 2.3889,                0.29956,                0.33229,                 0.1174,                0.05962,                 1.5628,                 3.5117,                 2.4791,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4182,                  2.526,                 2.0452,                0.24118,                0.53672,                0.24489,                0.15397,                  1.124,                 2.1748,                 1.8732,               0.000802,               0.000802,               0.000802
                      6,                 1.2229,                 2.2271,                  1.852,                0.37068,                0.50822,                0.31444,                0.21742,                0.99685,                 1.9374,                 1.6924,              0.0007525,              0.0007525,              0.0007525
                      7,                  1.122,                  2.076,                 1.7355,                0.21139,                0.65897,                0.34854,                0.26949,                0.82389,                 1.7594,                 1.4515,               0.000703,               0.000703,               0.000703
                      8,                 1.0309,                 1.9362,                 1.6498,                0.42378,                0.57978,                0.39327,                0.32083,                0.72023,                 1.5444,                 1.3638,              0.0006535,              0.0006535,              0.0006535
                      9,                0.97614,                 1.8244,                  1.592,                0.43437,                0.55745,                0.38979,                0.31564,                0.73735,                 1.5498,                 1.3469,               0.000604,               0.000604,               0.000604
                     10,                0.92635,                 1.7793,                 1.5535,                0.42749,                0.61245,                0.42753,                0.36161,                0.63776,                 1.4645,                 1.2734,              0.0005545,              0.0005545,              0.0005545
                     11,                0.62842,                 1.5579,                 1.3473,                0.33199,                0.62756,                0.45676,                0.39327,                0.61502,                 1.4329,                 1.2182,               0.000505,               0.000505,               0.000505
                     12,                0.58561,                 1.4107,                 1.2968,                 0.5689,                 0.5931,                0.50569,                0.44479,                0.55799,                 1.3195,                 1.1596,              0.0004555,              0.0004555,              0.0004555
                     13,                0.53574,                 1.3145,                  1.248,                0.30203,                0.64251,                0.46794,                0.41502,                0.53815,                 1.4455,                 1.1097,               0.000406,               0.000406,               0.000406
                     14,                0.50637,                 1.2686,                 1.2202,                0.40263,                0.71614,                0.57065,                0.51224,                 0.5224,                 1.1913,                 1.1027,              0.0003565,              0.0003565,              0.0003565
                     15,                0.49305,                  1.217,                 1.1961,                0.35752,                0.70247,                0.52251,                0.46723,                0.51693,                 1.2853,                 1.0946,               0.000307,               0.000307,               0.000307
                     16,                0.45533,                 1.1694,                 1.1654,                0.45105,                0.71109,                 0.6087,                0.55715,                0.44733,                 1.1025,                 1.0267,              0.0002575,              0.0002575,              0.0002575
                     17,                0.43549,                 1.1312,                 1.1408,                 0.4592,                0.71043,                0.62494,                0.57121,                0.46219,                 1.1029,                 1.0323,               0.000208,               0.000208,               0.000208
                     18,                0.42943,                 1.0903,                 1.1371,                0.49042,                0.68181,                 0.6381,                0.57776,                0.45409,                 1.0568,                 1.0154,              0.0001585,              0.0001585,              0.0001585
                     19,                0.41394,                  1.045,                 1.1258,                0.69987,                0.58034,                0.64479,                0.58923,                0.43263,                 1.0144,                0.99928,               0.000109,               0.000109,               0.000109
                     20,                0.40248,                 1.0188,                 1.1176,                0.53575,                0.67623,                0.67235,                0.62143,                0.40781,                0.97026,                 0.9787,               5.95e-05,               5.95e-05,               5.95e-05
